Index,Name,Scientific Name,Family,Size (mm),Location
32,GREAT JAY,Graphium eurypylus,Papilionidae,80–100,"Southeast Asia"
33,GREEN CELLED CATTLEHEART,Parides childrenae,Papilionidae,90–110,"South America"
34,GREY HAIRSTREAK,Strymon melinus,Lycaenidae,25–35,"North America, South America"
35,INDRA SWALLOW,Papilio indra,Papilionidae,70–90,"Western North America"
36,IPHICLUS SISTER,Adelpha iphiclus,Nymphalidae,60–70,"Central America, South America"
37,JULIA,Dryas iulia,Nymphalidae,80–100,"South America, Central America"
38,LARGE MARBLE,Euchloe ausonides,Pieridae,40–50,"Western North America"
39,MALACHITE,Siproeta stelenes,Nymphalidae,80–100,"Central America, South America"
40,MANGROVE SKIPPER,Phocides pigmalion,Hesperiidae,50–60,"Central America, South America"
41,MESTRA,Mestra amymone,Nymphalidae,40–50,"South America"
42,METALMARK,Apodemia mormo,Riodinidae,25–35,"Western North America"
43,MILBERT'S TORTOISESHELL,Aglais milberti,Nymphalidae,45–60,"North America"
44,MONARCH,Danaus plexippus,Nymphalidae,90–100,"North America, South America (migratory)"
45,MOURNING CLOAK,Nymphalis antiopa,Nymphalidae,70–85,"North America, Europe, Asia"
46,ORANGE OAKLEAF,Kallima inachus,Nymphalidae,85–110,"South Asia, Southeast Asia"
47,ORANGE TIP,Anthocharis cardamines,Pieridae,45–55,"Western Europe, Temperate Asia"
48,ORCHARD SWALLOW,Papilio aegeus,Papilionidae,100–120,"Australia, Southeast Asia"
49,PAINTED LADY,Vanessa cardui,Nymphalidae,50–65,"Global"
50,PAPER KITE,Idea leuconoe,Nymphalidae,120–150,"Southeast Asia"
51,PEACOCK,Aglais io,Nymphalidae,50–60,"Europe, Temperate Asia"
52,PINE WHITE,Neophasia menapia,Pieridae,50–60,"Western North America"
53,PIPEVINE SWALLOW,Battus philenor,Papilionidae,70–100,"North America, Central America"
54,POPINJAY,Stibochiona nicea,Nymphalidae,50–60,"Southeast Asia"
55,PURPLE HAIRSTREAK,Neozephyrus quercus,Lycaenidae,30–40,"Europe, Temperate Asia"
56,PURPLISH COPPER,Lycaena helloides,Lycaenidae,25–35,"Western North America"
57,QUESTION MARK,Polygonia interrogationis,Nymphalidae,50–60,"North America"
58,RED ADMIRAL,Vanessa atalanta,Nymphalidae,60–70,"Global"
59,RED CRACKER,Hamadryas amphinome,Nymphalidae,70–80,"Central America, South America"
60,RED POSTMAN,Heliconius erato,Nymphalidae,60–70,"Central America, South America"
61,RED SPOTTED PURPLE,Limenitis arthemis,Nymphalidae,70–90,"North America"
62,SCARCE SWALLOW,Iphiclides podalirius,Papilionidae,70–90,"Europe, Temperate Asia"
63,SILVER SPOT SKIPPER,Epargyreus clarus,Hesperiidae,40–50,"North America"
64,SLEEPY ORANGE,Eurema nicippe,Pieridae,35–50,"North America, Central America"
65,SOOTYWING,Pholisora catullus,Hesperiidae,25–30,"North America"
66,SOUTHERN DOGFACE,Zerene cesonia,Pieridae,50–60,"North America, Central America"
67,STRAITED QUEEN,Danaus gilippus,Nymphalidae,70–80,"North America, Central America"
68,TROPICAL LEAFWING,Anaea aidea,Nymphalidae,70–80,"Central America, South America"
69,TWO BARRED FLASHER,Astraptes fulgerator,Hesperiidae,40–50,"Central America, South America"
70,ULYSSES,Papilio ulysses,Papilionidae,100–130,"Australia, Southeast Asia"
71,VICEROY,Limenitis archippus,Nymphalidae,50–75,"North America"
72,WOOD SATYR,Megisto cymela,Nymphalidae,35–45,"Eastern North America"
73,YELLOW SWALLOWTAIL,Papilio machaon,Papilionidae,65–85,"Northern Hemisphere"
74,ZEBRA LONG WING,Heliconius charithonia,Nymphalidae,70–90,"Central America, South America"
